,Tên kênh,Số lượt đăng ký,Ngày thành lập,Thể loại chính
0,Wowy,1230000,2012-03-01,Rap
1,JustaTeeMusic,1350000,2013-02-01,R&B
2,Noo Phước Thịnh,1860000,2013-04-01,Pop
3,Trúc Nhân,1810000,2013-05-01,Pop
4,Hoàng Thùy Linh,1530000,2013-03-01,Pop
5,BÍCH PHƯƠNG,2340000,2014-11-01,Pop
6,My Tam,2450000,2013-11-01,Ballad
7,ĐÔNG NHI,572000,2020-04-01,Pop
8,Sơn Tùng M-TP Official,11200000,2015-01-01,Electronic-pop
9,Hòa Minzy,1770000,2014-10-01,Pop
10,MIN OFFICIAL,2090000,2015-12-01,Dance-pop
11,Phan Mạnh Quỳnh Official,1590000,2013-09-01,Ballad
12,Chi Pu Official,1460000,2013-06-01,Pop
13,ERIK Official,1810000,2017-04-01,Pop
14,Đen Vâu Official,5090000,2015-04-01,Hip-hop
15,Vũ Cát Tường,512000,2012-02-01,Indie-pop
16,Hương Tràm Charmy pham,919000,2016-09-01,R&B
17,Phương Mỹ Chi,626000,2014-01-01,Dân ca
18,J97,6130000,2020-02-01,Pop
19,tlinh,621000,2018-11-01,Rap
20,MCK // Nger,716000,2018-05-01,Rap
21,Mono Official,626000,2022-06-01,Pop
22,Vũ Official,1260000,2013-12-01,Indie-pop
23,Pháo Northside,451000,2020-02-01,Rap
24,AMEE,159000,2020-04-01,R&B
25,Dương Domic,199000,2022-11-01,Pop
26,HIEUTHUHAI,1020000,2020-11-01,Hip-hop
