Tên kênh,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
AMEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530892.8311716254,1002774.3266855571,1571752.1832675238,2138006.9431674117,2685915.6802891167,3234325.8890736615,3752077.0178903695,4308141.527659364,4833889.268648205,5332017.184993362,5898339.101923233,6503886.936555815,7073283.547316683,7610760.387078514,8118376.916195218,8597378.900696725,9048985.181387423,9474386.907086775,9874746.842693923,10253084.669829823,10608299.981027372,10941677.317089012,11301567.062756624,11633777.791891119,11944246.325908897,12234089.93922119,12504390.861115275,12756195.934282916,12990516.369301604,13208327.593947925,13416457.993144862,13608934.135811364,13787134.641829537,13951926.422498312,14104140.099630525,14244570.277210211,14373975.902353516,14493080.711846065,14602573.760084251,14703110.023833686,14795311.07883968,14879765.842987334,14957031.380416894,15027633.760757284,15092068.967450418,15150803.849003427,15204277.106926894,15252900.314095471,15297058.957302395,15337113.497870715,15373400.444329208,15406233.431357212,15479208.833502632,15529081.500470744,15564568.305880595,15591267.85243467,15770420.0
BÍCH PHƯƠNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500705.12571614067,868636.7616834759,1225089.8186730177,1576379.190801676,2013754.125356401,2433408.224773775,2839410.1598536083,3859227.366148118,4725023.712827762,5753074.279333027,6739879.193548227,7710487.754377784,9623161.382779852,11262809.830919182,12860221.333357096,14419662.562457811,15941775.830839476,17490439.297371533,19032982.93899255,20548098.386075243,22020737.956569966,27175950.005860873,31355759.123653736,35458331.51644188,39446337.16174326,43330406.496363595,51653154.78005729,58729729.67382379,65615565.93652425,72314330.2098336,78829661.52591018,85446530.6564421,93701302.17938419,101346319.42024755,108768287.88345705,116003423.70758133,123024041.22978908,129912145.29739627,136611735.71530506,143154688.06624418,149492670.2173884,155645028.18836161,168372405.3351779,179381458.01261222,190111989.6325834,200515057.62529895,210576266.95918116,220673723.45478305,231242319.69059816,254276034.9829304,274168242.82606983,293372861.7316626,311898153.36834145,329762950.0105021,346984477.1719687,363579757.3482488,379565603.9194373,401009152.8394669,420645102.8064263,439646869.2391809,458198606.44445837,475988011.6284319,498552996.67901087,519358850.1027414,539307714.995134,558425941.1567849,585933045.0093877,612052609.5637997,636854615.2875265,661048241.3690841,684075162.9219676,706491373.747567,727805497.7041765,748297063.051847,767788927.2116543,786351136.9824723,804010663.9344133,820808350.9338619,837448060.1945934,853375531.2549428,868458862.0122819,882756788.3404706,896301594.1137627,909622439.6460644,922327912.202799,937614581.6781104,951697777.20367,964944965.3508949,977397301.6484761,989092847.5685326,1000068562.1163046,1010360287.4384272,1020663513.1947054,1030241082.1302139,1039187071.7038476,1047535870.238747,1055320634.4822078,1062573284.9968271,1069324505.1442078,1075603743.6002035,1081439220.3187556,1086857935.840103,1091885683.8187943,1096547066.6277082,1100865513.8764546,1104863303.6662605,1108561586.3889647,1111980410.8651946,1115138752.6063387,1120637300.569731,1125324808.0969558,1129397044.14117,1139280150.8589363,1146998293.6204433,1153094015.4158232,1157886642.0757596,1161651950.7577152,1164621939.4963074,1166986209.2278028,1168895247.3081477,1170465055.3121872,1183618712.0
Chi Pu Official,,,,,,,,,,,,,,,,,13673.462834066235,23026.067321288094,32202.674545704333,76290.68414272822,109266.6432700168,141609.11504836835,173326.61481594472,204427.61888290555,238312.18346200825,270563.3568150548,302176.13061568193,333159.46976998344,428294.8440282935,503447.03706620156,577061.1316352056,649159.3560411294,719763.820694624,788896.5147260347,859560.3354648552,927930.4266948857,994848.2091644622,1060335.846061486,1124415.3598346047,1195307.0498520527,1310674.1191365256,1411727.818646736,1511063.6603962078,1607982.8481885477,1716845.0588032773,1819657.6616361246,1920108.5326466598,2018236.949840154,2114081.907094942,2210491.7763019213,2303942.641139624,2395174.471585826,2486053.126379331,2626334.986692479,2752528.021290092,3033412.508675354,3559960.202746935,4219869.718309882,4815194.9135090895,5572859.225652134,6270863.252038668,6954940.703466552,7619324.091474661,8265526.493820449,8902104.572396476,9524920.640454108,10134120.791097606,10733745.712574607,13609783.098401582,17330083.296318695,21811292.23015803,26015339.954307456,30186448.830730114,34205822.66891907,38100107.69453446,43681478.21700898,48858409.992478825,53856105.1618731,58689129.37519962,63365017.023132116,67885841.78287233,73974086.38573858,79867074.33047791,85618967.18471137,91149323.1228151,96603595.77126342,108621188.46185037,119285635.43394233,129510728.36716898,139706990.65684825,150043961.7936156,159887661.67775685,169349124.34287977,178596757.7690348,189241442.38003993,199524759.71502024,209333823.21108845,218743977.21608865,227851417.34837583,236718004.33675787,246987889.29038948,256616674.36568886,265864427.43343082,275208224.08487105,284190099.6860207,292776865.00943303,300965618.7095525,308808043.4878425,316269392.98838645,323369188.8042053,330121030.76013815,336538218.03671235,342633745.86705804,348420302.72511554,353971876.006875,359313292.66513276,364364183.0141413,369146002.9471366,373670248.97612274,377948096.8303463,381990401.41074157,385807697.2211592,389412487.94251525,392826787.7274611,397061659.0670845,400940959.9864457,404715391.2338788,408854503.4249935,412689915.02335197,416267592.70399135,419598187.1640632,422694125.4280533,425557465.8057271,428214955.49541277,430805856.55507004,433992066.91185,436911640.6776815,440241079.11219406,443237629.65267473,445929139.06856877,448487585.3379064,452121820.44205457,455457053.31030107,458403035.8127245,460919505.8393642,463053378.9967529,464957207.5511881,469499432.55640906,472910168.9816168,475495658.92958105,477423909.02256525,478849318.29641396,480469957.14269835,481472312.00826883,487017485.0
Dương Domic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101565.73896479746,185991.07275969503,261864.60463007636,329825.156512242,390489.82337354124,444451.98918338143,492279.6255904418,534513.8804596746,571667.9594184286,604226.2995517765,632644.030451852,657346.7140430002,678730.3510493767,697161.6387148905,712978.4614907163,1576997.0290254531,4064404.8633876145,5944382.141100493,7332651.780432499,8388544.794646034,9467326.278548041,10718410.583033074,18783668.104321316,22475587.143405482,29846543.595553417,31602480.0
ERIK Official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272400.6765221804,498604.5368317167,713801.8599776654,922887.2757343848,1125983.2371316655,1323211.312459528,1514692.1482409905,2100055.735065561,2593163.010220309,5507364.5737822605,7872195.247521312,10156588.523010992,21867541.22722362,31396393.96202496,40625118.61926797,49587144.987507954,58289584.430547245,68739105.80393992,78511002.40608436,89607033.79505248,100188281.19711281,110417570.44967815,120279593.76147084,129792133.94870792,139281263.6584557,148390838.98550954,157193471.69227302,171614370.23968813,184525777.44484925,196940555.4967625,208949508.30392587,220849758.4984809,232218538.29162824,244662033.26696062,256646937.29816613,268093817.13416705,279112996.7432069,299867338.6355273,319916718.84205407,338847045.3838787,356912369.09708846,375793421.0611989,393566245.40642715,410495111.6363741,426610066.1877214,442408468.95829004,457370909.92289656,471608335.3641626,485139073.4347484,498039717.0668924,510405632.75271916,522168396.2762317,533992997.2931526,545097572.9417745,555613832.6072136,565576880.8701291,574972779.3055874,587790113.775448,601616444.0443069,614806815.0784895,627193185.9413878,638744031.1777813,649512511.0856757,659626821.8469532,669026943.2103616,677760198.5302856,685864907.8367643,693486150.4516668,700533057.792269,707048895.0933917,713067049.223905,718969220.7984523,724374830.0448337,729627645.6694024,734425854.1049179,738967296.8171246,743103038.9624416,746875770.5310882,750357700.6213926,753535043.5610965,756547857.0455157,759290247.9440613,761753766.014193,765226233.2295294,768131044.4151846,770591816.8678484,772711509.8387623,774511860.6658875,776050701.2634784,777489271.085111,778838512.3040963,779965469.892498,788766859.0
HIEUTHUHAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944655.5124624353,3659044.6052718256,5289482.080696727,7108626.939692755,8794738.8393412,10387866.790317185,11891747.006377703,13332462.355363697,17864846.752336644,21769674.322937235,25433970.34554711,28868554.006729178,32084029.445000913,35102612.13823487,37920608.80433647,40549201.42339631,43913162.80364793,46954153.229462616,49774956.56225553,52387727.322100766,55232578.02799466,62510552.011404,68801740.62447768,74545804.06567433,81625696.31870517,97586945.2958012,111306010.52489139,123624147.60985777,134649236.8955801,151300075.83185935,165671585.3107399,178377955.61475793,189531694.26989734,199283604.31365272,207773809.3363737,245856442.51007456,276546237.91660523,302058753.93016964,323650140.5491771,347448848.49158335,366299977.29620075,381205271.39100426,392855480.19849414,405514755.8589631,414741916.3846214,421414380.1937414,426180083.2768345,429554595.57055545,437835650.6106438,444885931.0
Hoàng Thùy Linh,,,,,,,,,,,,,,145667.86377348512,421941.87159349443,639894.8300143897,853807.2135438378,1063731.3556592807,1270166.3524756255,1509497.0396784367,1733476.387039691,1953180.0110992014,2260287.0424787537,2571141.760322286,2865593.6098712063,3154272.150218628,3437257.856697119,3720649.379699126,4103520.7628742433,4448904.873373436,4792777.981762509,5130422.47920144,5460508.538546063,5783781.113698988,6100341.67499898,6410291.046084766,6723728.974573329,7027881.338481126,7325564.297305152,7617909.965618714,7903694.640218239,8183292.614671817,8456802.477705369,8727794.371277222,8991931.27614394,9250212.595801335,9508588.069076508,9775733.578854963,10049024.458189655,10312103.71584902,10569135.600684246,10820223.896388244,11652321.880532803,12324177.532479579,15084031.486150086,17285460.393653143,19433213.75618456,21524431.23553519,23561115.4424353,25607375.90526599,27629342.01391409,29608025.323066294,31528882.955477007,33397642.30988859,35215328.9660277,36982959.64946476,38701542.01350824,40372074.42822302,41995545.77665586,43572935.25834452,45105212.20018035,46593335.87468782,48038255.325777546,49440909.20202267,50802225.59750188,52123121.90024523,53404504.64831228,54647269.39352543,55852300.57287382,57020471.38759713,58229631.00020348,59389222.4663697,60511870.914438196,61598921.02511304,62651241.30094656,63669687.94643537,64655104.77649006,65632426.46638385,77286236.22686262,86695728.47763193,96553928.57872945,105893937.3273596,114907517.40687773,123553869.51007064,135568613.43205383,146510155.56407112,156994264.3589363,167034902.7136915,181736179.5227423,195046768.18275854,207765219.71506792,219910896.71676028,231502869.91973147,242559907.7750236,253107537.96821988,263155529.7291807,273581846.05130446,283389755.3915767,292713725.2922736,301571981.73903286,309982371.6042872,317962355.8434163,327256033.8742091,335853465.19852966,344520587.10912913,352647679.1171811,360317573.3478403,367565640.7413022,374393499.1385534,387321109.5383593,406466044.6230551,423585125.721099,439500673.44452137,455038549.5206489,470008275.9537781,483804404.2341769,496615380.31206685,508426326.2626782,520996926.47195137,532412097.4076219,547482724.2393526,561356869.7675333,573914068.6029656,585283099.5604236,595553885.0129755,604812292.5629123,613140029.2831615,620614567.3359092,627317774.4293212,633864918.335767,639652828.800078,645617224.0003628,650818855.5516105,655373852.4834017,659340278.3656684,662787809.9679413,665779478.2093362,668372318.9838467,670617554.5256071,672560849.2179892,674242627.2528342,675698437.9459684,676964146.9713142,678366660.376917,686226073.0
Hòa Minzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152096.10569423708,259585.67277361374,373460.73693688033,482565.37368181633,591466.1443638051,697433.5439520815,801086.7166261135,902461.4549352183,1001593.3436015296,1098517.7534501334,1193269.8354683565,1290944.4294892172,1385114.7969158539,1477131.4308110005,1567029.9444792466,1654845.695893198,1740613.782265054,1824369.034765108,1906146.0133886118,2352194.5354178254,2813114.844278903,3235432.152988454,3647120.0686908592,4048368.506630415,4490980.277892066,4910259.252202174,5342193.831820125,5827357.917286302,6283918.625321596,6728302.787798988,7217480.651014746,7720804.172634278,8219109.1156628225,8756567.839458656,9471205.274419107,10487399.819144309,11804611.485573778,13173592.712296229,14465793.98074644,15842115.657059487,17151989.823714282,18605523.26711584,20050951.047650088,25790601.520008475,30850642.852840267,39551534.80421875,47331585.10935918,54894437.24681033,63511728.94757007,71591913.28152433,79473749.36064687,87357782.42503493,94913337.50644071,102201131.41634606,109228095.26441368,116550300.7211243,123773730.60252647,130685584.23476455,137352009.62815717,143827014.39584702,150100059.79981974,156122425.12032923,161910284.4266247,167470531.5106115,172809951.36666045,177944858.92795205,183612984.69721127,192921360.6980258,202208750.55587694,211279908.8241737,219897176.211786,228122601.27115798,235982975.69069886,243485670.40730146,250752148.86808193,258218877.50004762,265251205.20389858,271937073.7028539,278289599.7092179,284321622.8171525,290045700.695546,295504494.3697148,300674355.0386958,305605317.74794275,310268251.09078383,314678345.876463,318846554.5868042,322888303.2569495,326691586.31531465,330277646.56878334,333656554.7373883,337509732.36817974,342242612.39617944,346554538.5359697,350628653.7121693,354412631.9537403,357927694.8530244,361189463.9403501,364213006.3595196,367927283.48871154,378952814.8449165,398961249.04057,416124123.8061667,431333647.8275221,444760688.3723922,456568495.5353914,466912125.935163,475937984.50035,483783485.33271646,490576830.47434336,496436903.3085043,506525419.7715863,519067908.7607523,529172482.1636093,537203003.2574416,543527722.177183,548467038.6058244,552297908.1038696,555254769.3452984,557531932.4575527,559287097.170298,560652136.2790449,567386607.0
Hương Tràm Charmy pham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266376.2647900304,2608431.9565947074,3847125.498779557,5047416.274832133,6215761.256685434,7352761.235555702,8531774.527795749,9719326.326836707,10865808.531073911,12751871.228437968,16109589.118627459,19124014.913008388,29637939.39469449,38313010.05388836,46734918.24160775,55526693.981183276,63949788.54604013,72111480.79240724,80022494.48819631,87688371.18601958,95182937.95860682,108440705.71931925,120193617.94232863,132149755.58689217,143615753.8788195,155082161.0421711,166590792.48157337,177668594.23708844,188403934.690308,198797384.3584966,208825724.26203743,218629231.72149673,229107293.71966168,239029605.99807778,248590862.8534901,257800896.8096392,267069097.40225682,275924610.2288067,284444493.7221626,292638393.4943251,300551167.8068834,308214159.14163154,315565447.0216635,322624293.86114645,329511099.08732295,336119095.7280431,343233226.033721,350017996.5429673,356702911.5287989,363073533.361489,369234293.55536,375114955.1207214,380734119.420221,386100933.2362553,391224347.0270724,396113113.76224655,400775787.996338,405488494.1368164,409949657.74715716,414194904.62944824,418233125.97326636,422132408.0448122,425836615.1518521,429353242.77285725,432690645.80721927,435856310.2663342,438857509.1758105,441701303.2828141,444394542.03338623,446949635.2901257,449370761.9828223,451659474.03461623,453822233.68625885,455864903.1406057,457793143.12324715,459612415.4385805,461327985.74115485,462944926.5114967,464468120.22504824,465902262.7023236,467251866.62793,468521265.22569144,469718041.3861254,471849558.7924972,473728361.25781465,475416693.5315449,476933158.9285327,478292124.2561465,479575359.5962816,480717424.2556512,481736979.42831826,482648648.787007,483648126.1813938,487272910.58831275,489843485.2649411,491706585.3924106,493036553.32981944,493997140.0346995,494728865.6385139,500261633.0
J97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998132.7525637271,14296151.744402654,25148167.249433547,35509594.205290906,47976275.630065314,59497166.432777256,70738677.41927557,97753924.63723546,121236799.75615902,143787622.62999383,177109510.5001782,207642151.51687598,236510291.2861434,263837063.95107415,294400776.50966674,322714396.15942717,349437869.20388174,374637749.5453567,398379201.86444885,420725954.25884867,441740255.11706036,461482834.26701355,480012868.4238849,497387950.9457197,513664065.8897599,528895566.34681314,543135157.0156422,556433880.96428,568841110.5104827,585976083.9171835,601386128.7491711,615635350.6204864,628792553.6510231,647342132.6523534,663846971.8510811,681119665.1612884,696672631.3488952,710899082.6027095,723765608.2918992,735384410.0193557,745854650.802398,755270453.1701345,767150710.6337807,777612245.3196698,786816052.9583147,794895467.7599087,804133389.8434407,811984709.3293629,827300386.5129181,839446509.9710906,849199994.8322769,856975479.3210784,863139542.4717741,868009344.9629369,871853384.8863485,874894068.0881349,877311691.1964515,879249379.7467582,889715674.0
